Mendaro / Patxi-kontra,144
Loiolako arin-arina / Argi,144
Mazurka,144
"Zar dantza / Abiatzen banaiz kantatzen / Gizona, non duk zuhurtzia?",144
Hortz zorrotzak dituen ardikumea / Txakur berdea,144
Añoar haundi / Zinta dantza / Ezpatadantza,144
Lehen orai eta bethi,144
Grabo / Lau pontuak,144
Abenduko illaren / Abenduan ogeian,144
Bonifazioren fandangoa,144
Partitzeko tenorea / Errege Jan,144
Aramaioko fandangoa,145
Altsasuko soka dantza,145
Iruritako mutildantza / Belauntxingoa,145
Hegi,145
Bedaio eta Eugiko ingurutxoak,145
Hiru fandango,145
Arratiako kalejira,145
Launako,145
Kukuruku / Xaratxaga,145
Pelegrinuak datoz,145
Irungo arin arin / Baratzako pikuak,145
Biasteriko Uztai Dantza / Biribilketa,145
Branlea,145
Otsagiko Pañuelo Dantza / Modorro,145
Zigako Mutildantza,145
VII. minuetoa,145
Maria Zaharra,145
Ituringo soka dantza,145
Ezpata dantza / Makil joko,145
Lurrarenpean,145
Albobanako,146
Al buk funk,146
Albokhalifa,146
Albokalapita,146
Albokasbah,146
Otazu blues,146
Aranmula,146
Buhamoka,146
Basalboka,146
Munduberri,146
Alboka 20,146
Ufa goxo,146
Ufakatakolpeka,146
Hona iristean,147
Kondenatua,147
Oi Pello Pello (zuzenean),148
Aitormena (zuzenean),148
Uheretan (zuzenean),148
We are (zuzenean),148
Udako euria (zuzenean),148
Ikusten duzu goizean (zuzenean),148
Mode (zuzenean),148
Harridurak (zuzenean),148
Mari & Kanaky (zuzenean),148
Hosto dantza (zuzenean),148
Leitza (zuzenean),148
Uretan (zuzenean),148
Abuztua (zuzenean),148
Fan and go (zuzenean),148
Epel (zuzenean),148
Ezin erran nizun hitzez (zuzenean),148
A ragtime (zuzenean),148
Ezpatadantza (zuzenean),148
Oinutsik,149
Daniela,149
Oi Pello Pello,149
Eguzkilore,149
Uretan,149
Pool,149
Ikusten duzu goizean,149
Abuztuan,149
Elurra,149
Udako euria,149
Neguko eguzkitan,149
Ekialdetik dator,149
Ametsak,149
Oskorria,149
Maiatza,149
Epel,149
We Are,150
OIatu dantza,150
Bidaiari ekina,150
Leitza,150
Hegaldia,150
Urte zahar,150
Arin,150
Vuelve,150
Fand and go,150
